,Feature Scores,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lasso,,,,,,Anova,,,,,,RFE,,,,,,Forward Selection,,,,,,,,
,Algorithms,R-Squared,MAE,RMSE,,,Algorithms,R-Squared,MAE,RMSE,,,Algorithms,R-Squared,MAE,RMSE,,,Algorithms,R-Squared,MAE,RMSE,,,,,
5,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.8157928,0.04448673,0.05449706,,,Decision Tree ,0.6450164,0.06516263,0.07565262,,,,,
,Random Forest ,0.8206704,0.04404145,0.05377072,,,Random Forest ,0.8222243,0.04339198,0.05353724,,,Random Forest ,0.846305,0.04054931,0.04977941,,,Random Forest ,0.6980616,0.05772118,0.06977165,,,,,
,SVR ,0.8341263,0.0398274,0.05171405,,,SVR ,0.05463274,0.04148923,0.05463274,,,SVR ,0.8013448,0.04331001,0.05659392,,,SVR ,0.6584758,0.05888257,0.07420456,,,,,
,Gradient Boosting ,0.8043706,0.04592306,0.05616126,,,Gradient Boosting ,0.05660358,0.04608853,0.05660358,,,Gradient Boosting ,0.8002754,0.04629332,0.05674604,,,Gradient Boosting ,0.6606533,0.06300075,0.07396762,,,,,
6,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.6450164,0.06516263,0.07565262,,,,,
,Random Forest ,0.8818027,0.03391238,0.04365395,,,Random Forest ,0.8826169,0.03322187,0.04033001,,,Random Forest ,0.880324,0.03377912,0.04392618,,,Random Forest ,0.748825,0.0514089,0.06363675,,,,,
,SVR ,0.8448462,0.03788762,0.05001509,,,SVR ,0.8307131,0.03945961,0.04598407,,,SVR ,0.8448462,0.03788762,0.05001509,,,SVR ,0.6624466,0.05857591,0.07377191,,,,,
,Gradient Boosting ,0.8058991,0.04540295,0.05594143,,,Gradient Boosting ,0.8057428,0.04520479,0.0547953,,,Gradient Boosting ,0.8048293,0.04525645,0.05609538,,,Gradient Boosting ,0.6824886,0.06135903,0.07154832,,,,,
7,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.6450164,0.06516263,0.07565262,,,,,
,Random Forest ,0.899596,0.03172168,0.0402342,,,Random Forest ,0.879896,0.03350434,0.04115451,,,Random Forest ,0.8949502,0.03223263,0.04115451,,,Random Forest ,0.7474923,0.05135135,0.06380536,,,,,
,SVR ,0.8602179,0.03619004,0.04747288,,,SVR ,0.8368838,0.03874966,0.04530165,,,SVR ,0.8727117,0.03558851,0.04530165,,,SVR ,0.6721603,0.05828064,0.07270271,,,,,
,Gradient Boosting ,0.8099104,0.04499346,0.05536037,,,Gradient Boosting ,0.7991878,0.04599598,0.05471283,,,Gradient Boosting ,0.8143313,0.04439003,0.05471283,,,Gradient Boosting ,0.6727316,0.06187535,0.07263934,,,,,
8,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.8386299,0.03958917,0.05100718,,,Decision Tree ,0.8157928,0.04448673,0.05449706,,,,,
